Video_ID	Name_of_Tch_1	gender
1467960	Business Hero	male
89412	Highwire Business Academy	female
89256	Highwire Business Academy	female
250852	Toomas Ounap	male
3953528	Pete Donarski	male
1114538	Panache Desai	male
866408	Geoff Shaw	male
1290466	Matt Artisan	male
1560348	Gordon Tredgold	male
952956	Jeffrey Kelly	male
2313386	The Internet Wolf	male
3773182	Scott Jansen	male
3596132	Scott Jansen	male
3877864	Scott Jansen	male
121950	Stella Grizont	female
2170098	Frank Valentine	male
1983664	Faith Hill	female
503806	Akanksha (Akanksshaa) Kulkarni	female
542972	Mike Elmore	male
582626	Prue Madden	female
1420386	Kevin Volo	male
1488690	Magdy Aly	male
1421078	Magdy Aly	male
646526	Phill Cronin	male
1643770	A.J. Parr	male
3046340	Alex Evans, PharmD, MBA	male
3550790	Marc Hamill	male
375696	Danny Zacharias	male
532168	Danny Zacharias	male
1341612	Hannan Tariq	male
2859792	Dr Dipen Shah	male
817890	Gwyneth Box	female
92446	Dr. Richard Walters	male
153034	Dr. Richard Walters	male
2003354	Noah ?Merriby	male
2055795	Noah ?Merriby	male
749948	Dr. Stuart Pattico	male
680930	Dr. Stuart Pattico	male
800248	Dr. Stuart Pattico	male
3253720	Sameer Nagi	male
3574887	Lokesh Kumar Lakhotia - NetEdu Academy	male
774744	Aaryn Longmore	male
635514	Matthew Key	male
399334	Alin Vrancila	male
494152	Sharon Ramel	female
452884	Sharon Ramel	female
117662	Patricia H. Roberts	female
1499090	Tom Wiztek	male
1437648	Tom Wiztek	male
1437626	Tom Wiztek	male
2767348	Toni Puhle	male
2509562	Shore Scripts	male
2260258	Asher Rubinstein	male
1315046	Hilary Phillips	female
1555326	farookh sensei	male
394340	Joel Young	male
908192	Aisha Borel	female
743502	Andrew St.Pierre White	male
1578722	Le'Siran Edwards	male
228900	Matt Lewis	male
2373232	Farill Farook	male
1382426	Dekker Fraser, MBA	male
924712	Vladimir Raykov	male
405180	Silvio A C Gollega Jr	male
2382955	Ma Barakat	andy
2445534	Ma Barakat	andy
2811161	Alina Lepak	female
312564	Osamede Arhunmwunde	male
724922	Christian Heath	male
689776	Angelica King	female
2634964	TechSckool By Vijay	male
964262	J L Sumpter, M.S.	male
806892	Rob Howze	male
490754	John Williams	male
407442	Steve Churchill	male
385066	Greg Vanderford	male
1025490	Des Lawton	male
