Id	Title	Blurb	Category_A	Category_B	Category_C	Language	Length_of_Video	Marked_Price	Rating	Reviews_Num	Selling_Price	Students_Num	Students_of_Tch_1	Name_of_Tch_1	Courses_of_Tch_1	Reviews_of_Tch_1	Rating_of_Tch_1	Url
2312768	Transformational Leadership Theory - Leadership Wisdom	Transformational Leadership Theory: Proven Techniques Of The BEST Leaders	Personal Development	Leadership	Leadership	English	5 hours	84.99	4.532078	116	9.99	17472	46762	Advanced Ideas, Inc	8	508	4.1210205	https://www.udemy.com/course/transformational-leadership-soft-skills/
2286225	Dealing With Difficult People - The ULTIMATE Course	"""Solving The Problem Of Difficult People"""	Personal Development	Stress Management	Communication Skills	English	1.5 hours	84.99	3.626034	116	9.99	13584	46762	Advanced Ideas, Inc	8	508	4.1210205	https://www.udemy.com/course/dealing-with-difficult-people-work-life/
3321918	Develop Your Listening Skills to Shine at Work and in Life	Practice Your Ability to Choose your Focus and Give your Attention to What is Important for You	Personal Development	Leadership	Listening Skills	English	1 hour	84.99	4.709636	116	9.99	21034	31298	Katiuscia Baggio, ICF Coach	2	212	4.48265315	https://www.udemy.com/course/develop-your-listening-skills-to-shine-at-work-and-in-life/
1490852	Alcohol Ink and Resin DIY Projects Drink Coasters and Knobs!	3 Super Fun QUICK DIY Projects using Alcohol Ink Art and Resin to Create SUPER COOL Unique Art Drink Coasters and knobs!	Personal Development	Creativity	Resin Art	English	1 hour	29.99	4.5009484	116	12.99	774	13497	Kellie Chasse	41	2474	4.572437139481268	https://www.udemy.com/course/alcohol-ink-and-resin-diy-projects-drink-coasters-and-knobs/
3164996	Traveler's Sketchbook 2: Drawing Landscapes	How to create beautiful and successful drawings of the landscape using easy symbols for trees and shrubs.	Personal Development	Creativity	Sketching	English	6 hours	29.99	4.7213445	116	9.99	677	1627	Marilee Nielsen	6	422	4.491838396721311	https://www.udemy.com/course/travelers-sketchbook-pt-two-landscapes-and-line-weight/
1618404	How to Write Cozy Mysteries	Mystery writing requires compelling mysteries. A light, gentle touch is the best way to reveal the darkness beneath.	Personal Development	Creativity	Writing	English	1 hour	34.99	4.493516	117	9.99	509	4650	Harry Dewulf	15	463	4.438281081081081	https://www.udemy.com/course/how-to-write-cozy-mysteries/
681174	Quantum Jump - Extremely Powerful Reality Manifestation	Effortlessly manifest your wants, wishes and desires.	Personal Development	Religion & Spirituality	Manifestation and Law of Attraction	English	1.5 hours	49.99	4.821643	116	9.99	627	1275	Shu Huang Chen	4	223	4.672459125	https://www.udemy.com/course/quantum-jump/
3089018	Traveler's Sketchbook: Beginners Guide to Sketching	Sketching made easy through Contour Lines and Proportional Drawing Techniques. Part 1 of a 4 part series of classes!	Personal Development	Creativity	Sketching	English	3 hours	19.99	4.3795376	115	9.99	601	1629	Marilee Nielsen	6	422	4.491838396721311	https://www.udemy.com/course/travelers-sketchbook-pt-1-beginners-guide-to-sketching/
3548126	Communicate to Win and Influence	Learn to win and positively influence people through the power of advanced communication skills.	Personal Development	Influence	Communication Skills	English	1 hour	49.99	4.4121366	115	49.99	16666	45032	Jose Ucar	4	441	4.574280325	https://www.udemy.com/course/communicate-to-win-and-influence/
368516	Assertiveness Training: Gain Respect and Personal Power	Learn to assert yourself to achieve your dreams and your desires. Live a richer, more confident, more fulfilling life.	Personal Development	Personal Transformation	Assertiveness	English	44 mins	34.99	4.407711	115	9.99	627	9295	Michele Poff, PhD	5	648	4.444032466666666	https://www.udemy.com/course/assertiveness-training/
